bedrooms_ratio,MedHouseVal
0.14659090909090908,4.526
0.15579659106916469,3.585
0.12951601908657123,3.521
0.18445839874411304,3.413
0.17209588199139522,3.422
0.23177366702937974,2.697
0.19289940828402366,2.992
0.22132731958762886,2.414
0.26027397260273977,2.267
0.1992110453648915,2.611
0.19709355131698458,2.815
0.2146731373108764,2.418
0.1902850260939382,2.135
0.2744252873563218,1.913
0.2368520620507,1.592
0.2526785714285715,1.4
0.17650050864699898,1.525
0.23859934853420198,1.555
0.20321572130415363,1.587
0.19827012641383898,1.629
0.24500665778961384,1.475
0.22391702257474067,1.598
0.2220853858784893,1.139
0.19964454976303314,0.997
0.19649280575539568,1.326
0.22990654205607478,1.075
0.215929203539823,0.938
0.22181243414120125,1.055
0.23631123919308358,1.089
0.2194787379972565,1.32
0.23329853862212943,1.223
0.2234091964700418,1.152
0.21279916753381894,1.104
0.22114803625377644,1.049
0.21538461538461537,1.097
0.23209876543209873,0.972
0.24026696329254726,1.045
0.25810721376571805,1.039
0.22448979591836735,1.914
0.2939967105263158,1.76
0.25165165165165165,1.554
0.33226495726495725,1.5
0.28330995792426367,1.188
0.21263157894736842,1.888
0.21552321552321552,1.844
0.25362318840579706,1.823
0.2862222222222222,1.425
0.30983118172790464,1.375
0.3125,1.875
0.39640591966173366,1.125
0.5055803571428571,1.719
0.24411134903640253,0.938
0.2648245886370692,0.975
0.2797546012269938,1.042
0.20085470085470086,0.875
0.2571428571428571,0.831
0.23263327948303716,0.875
0.22498321020819342,0.853
0.24585436193222782,0.803
0.2721518987341772,0.6
0.18822479928635147,0.757
0.21481481481481482,0.75
0.25,0.861
0.19362745098039214,0.761
0.21980676328502416,0.735
0.20693069306930692,0.784
0.24329896907216494,0.844
0.23758519961051605,0.813
0.19055944055944057,0.85
0.22991788646911815,1.292
0.19791666666666669,0.825
0.3176470588235294,0.952
0.24170616113744076,0.75
0.3333333333333333,0.675
0.19281437125748502,1.375
0.3734842360549717,1.775
0.1928620452985587,1.021
0.20132560066280034,1.083
0.21432664756446992,1.125
0.2573099415204678,1.313
0.31277056277056275,1.625
0.26666666666666666,1.125
0.2852941176470588,1.125
0.42487046632124353,1.375
0.1940928270042194,1.188
0.18499353169469598,0.982
0.5125,1.188
0.3977142857142857,1.625
0.39999999999999997,1.375
0.3132530120481928,5.00001
0.39436619718309857,1.625
0.4046511627906976,1.375
0.32291666666666663,1.625
0.328909952606635,1.875
0.363265306122449,1.792
0.46481516231938447,1.3
0.2895996518711923,1.838
0.3194029850746269,1.25
0.3449212384573601,1.7
0.29865125240847784,1.931
0.30369415807560135,2.578
0.2760936961763693,2.734
0.28337236533957844,2.375
0.3252900232018561,3.5
0.3260091977516607,3.357
0.14910536779324055,3.134
0.23790720631786771,2.685
0.26166097838452784,2.594
0.21574260270037346,2.757
0.25621816002397363,2.25
0.2029494382022472,2.625
0.28826463638750327,2.185
0.3020964890123769,2.55
0.23526936026936027,2.241
0.2653440793552387,2.431
0.22439405785770133,2.316
0.34846674631620866,2.185
0.26372315035799526,2.341
0.15864811133200796,3.276
0.14299212598425198,3.476
0.1576086956521739,3.661
0.16167664670658682,3.35
0.1467857142857143,3.736
0.16265230943610087,3.895
0.139739663093415,3.911
0.19822205409494992,3.373
0.16115843270868824,2.952
0.17435747663551404,2.923
0.13504307753957123,4.115
0.15649027589326098,3.115
0.16129032258064516,3.259
0.12987012987012986,3.926
0.1605584642233857,3.193
0.15557749259624878,3.333
0.138763197586727,3.352
0.14033983637507866,3.512
0.15131211613623674,3.689
0.1438692098092643,3.659
0.14727420667209112,3.667
0.14164456233421752,3.628
0.13013698630136986,4.833
0.14021052631578948,3.314
0.14709851551956815,3.235
0.21355453582774447,2.167
0.23735581188997337,2.331
0.15262778977681785,2.964
0.16996448503297815,2.737
0.21300961978928082,2.277
0.20297462817147854,1.996
0.1988239617787578,2.398
0.1674901185770751,2.701
0.18206521739130435,3.021
0.23905558288243978,2.695
0.159804605722261,3.147
0.13734198838401093,3.901
0.126133909287257,4.103
0.12595573440643862,3.524
0.1597315436241611,2.873
0.12970859985785357,3.487
0.2627806975633063,2.438
0.1891891891891892,2.115
0.24436990896023,2.184
0.19976124154397132,2.699
0.2583539603960396,2.188
0.2584951456310679,2.25
0.3350253807106599,2.5
0.31883072739632906,1.714
0.3500810372771475,1.938
0.3014705882352941,1.25
0.2945128779395297,0.975
0.29888712241653415,1.25
0.2920089619118745,1.388
0.3611442193087009,1.167
0.2760238907849829,1.518
0.22891566265060243,1.27
0.23444374607165305,1.286
0.25094577553593944,1.406
0.28739002932551316,1.827
0.24244966442953017,1.469
0.2329450915141431,1.228
0.2639182522903453,1.693
0.23499361430395913,1.266
0.26037735849056604,1.279
0.27491408934707906,1.235
0.2388178913738019,1.119
0.2253899044105316,1.128
0.2215367358384745,1.079
0.26426426426426425,1.375
0.29339686861810754,1.055
0.28790087463556846,0.955
0.26706231454005935,1.161
0.23124231242312424,1.122
0.24571428571428575,0.75
0.279826464208243,1.125
0.26274944567627495,1.25
0.3282764433206911,1.15
0.3273657289002557,0.95
0.2647317502198768,0.964
0.26788036410923277,0.72
0.3093220338983051,0.713
0.24941995359628766,0.808
0.2760416666666667,1.288
0.3323943661971831,1.125
0.2616632860040568,1.194
0.35256410256410253,1.181
0.23349056603773588,1.225
0.18468085106382978,1.063
0.24498506188647035,1.325
0.23770491803278693,1.227
0.21397849462365595,1.133
0.21116341627437793,1.095
0.20151869158878505,1.647
0.24934383202099739,1.25
0.24302620456466612,1.247
0.24644030668127057,1.367
0.2331912102328632,1.417
0.22926829268292687,1.5
0.19896305897602076,1.388
0.23561759729272416,1.392
0.2343839541547278,1.438
0.24962556165751373,1.565
0.22150644202180375,1.51
0.1638752052545156,2.73
0.18939883645765998,2.171
0.20204603580562658,1.871
0.1710144927536232,2.396
0.19909159727479184,2.297
0.15289256198347106,2.573
0.17595459236326108,2.469
0.2014462809917355,1.799
0.24150943396226415,1.696
0.19843214110730037,2.033
0.14947600661886376,2.634
0.1659308314937454,2.318
0.24204834605597966,1.405
0.2547169811320755,1.26
0.22108843537414966,1.22
0.27884022208513265,1.347
0.2520094562647754,1.394
0.26125680356259284,1.154
0.2268870031263957,1.373
0.2031144211238998,1.37
0.2121212121212121,1.426
0.2717149220489978,1.375
0.23921832884097036,1.117
0.2702702702702703,1.268
0.2814982973893303,1.113
0.23076923076923075,1.148
0.26632882882882886,1.023
0.3063170441001192,1.319
0.28283445326817347,1.191
0.22112676056338026,0.806
0.29272419627749574,0.806
0.20536912751677852,0.888
0.21919014084507044,1.024
0.3038897893030794,0.987
0.32251720747295964,1.0
0.27253218884120173,0.923
0.22201561918928972,0.948
0.2682611506140918,1.02
0.19260869565217392,1.584
0.22773972602739725,1.216
0.21585431173004818,1.291
0.20658436213991768,1.214
0.23944476576055523,1.028
0.1754385964912281,1.6
0.19723502304147467,1.439
0.19106912838127954,1.512
0.16653290529695025,1.644
0.18061874431301184,1.565
0.21830985915492956,2.25
0.17328825021132713,1.742
0.18037383177570093,1.669
0.18799546998867495,1.635
0.1539708265802269,2.53
0.16513111268603825,2.407
0.18349928876244667,2.081
0.19772172497965826,1.981
0.22746331236897277,1.728
0.1594643944004869,3.367
0.14391143911439114,3.182
0.14501510574018125,2.858
0.12891419276128507,2.93
0.15947671702227068,3.71
0.17060367454068243,1.573
0.22429344558027664,1.353
0.2216624685138539,1.367
0.19610231425091354,1.607
0.19820828667413215,1.406
0.19601837672281777,1.44
0.17277070063694266,1.619
0.19856704196519956,1.563
